yuma,yamato,amugiri,hyuga,yuta
"@comyamato0515 これからも精進してまいりやす (世間的には次が3本目の編集) Apr 26, 2020 ","@comyuta0305 @comamugiri0123 昨日の会議でなしっ方向にならなかったっけ？ Feb 21, 2021 ","おはようございます😎 (カッコいいスーツを着ると緊張する) https://t.co/y8KpSCKaJF Jun 12, 2021 ","@comyuria0103 それが1番草だったね実際 Nov 04, 2019 ","コムドットチャンネル登録者7万人突破しました🔥 狙って当てるのが難しいこの世界でここまで来れたのは間違いなくみんなのおかげであり、リーダー、メンバーのおかげだと思ってます。 崖っぷちを不安と思わずモチベーションに変えてこれからも楽しく活動頑張ります💪😂 https://t.co/mXTbvbdHml Nov 10, 2019 "
"今日の動画のミソ それすなわち 21歳男性が平均視聴者年齢18歳のチャンネルで童貞卒業を祝われていること Apr 26, 2020 ","3月に過去1デカいコラボウィークをぶち込む予定 考えただけでワクワクする YouTube界に革命が起こる Feb 19, 2021 ","@marinachan_0205 まりなさんありがとうございます！🙇‍♂️🤌 Jun 10, 2021 ","こんなことつぶやいといて今から遊びに行く自分草 https://t.co/5J9GogTiwO Nov 04, 2019 ","ひゅうがの誕生日会楽しみましょう✌️😂 https://t.co/YbWGJRakhD Nov 09, 2019 "
"コムドット創設期の編集者二人の愛弟子として今日の動画は意地で終わらせやした 自分はここまでしかできないと決めたらそこまでしかできないものですね 自分はできると思い込むことは大事ですな可能性がゼロではなくなるので #臭い発言をしてみました #ハイキュー効果です Apr 26, 2020 ","日本獲るので世界獲ってきて下さい！ https://t.co/heF7h5sUdh Feb 19, 2021 ","@macagra_ryoma りょーまありがとう！ また家行くンゴ！ Jun 10, 2021 ","こんな蛍光色着ていますが10時には家に帰る誠実系YouTuberやらせて貰ってます。 https://t.co/PLW1Ysp5Rw Nov 04, 2019 ","@yu24yu5 危ない奴だ🤔 Nov 09, 2019 "
"一万いいねからバズリとしましょう！ https://t.co/UWufYIAgPh Apr 25, 2020 ","RT @DJ_Shacho_jp: 【宣戦布告】 全ジャスティンビーバーに告ぐ 俺が通るから道をあけろ 俺が世界を獲る https://t.co/BkbSMi7W5J Feb 19, 2021 ","@FUJI_EVISJAP @comyamato0515 フジ君ありがとうございます😭 僕も大好きです Jun 10, 2021 ","@puntkick_ikemi そんなこと言いながらもいつもお腹の空いた僕にご飯を食べさせてくれてる池見くんには感謝しかありません😭 Nov 03, 2019 ","@com_emika おはよう✌️ Nov 09, 2019 "
"アンチに対してムカつくこととかあんまないです僕 アンチさんのおかげで毎日美味しくご飯が食べられてます アンチさんいつも燃やしてくれてありがとうございます。 本当に ご馳走様です。 いつもいつもご苦労さんです。 Apr 24, 2020 ","RT @ayachan0619: 会っちゃったー！！！ コムドットに会っちゃったー！！！ wwwwwwwwwwwww (トトロにあった時のメイのそれ) https://t.co/MPuSvmZlxa Feb 18, 2021 ","@chibashin0119 ちばしんありがとう！！ そろそろ死んじゃう😅 Jun 10, 2021 ","@comyuta0305 ゆうた俺に抱きついてる彼女役な‼️ 調子こくなタコ！！ Nov 03, 2019 ","@arr___bSo 駆使ぎりって感じだね笑 Nov 09, 2019 "
"ふふふふふふ今日は君たちのおかげで編集についてのコメントがたくさんあったうれしいふふふふふふ😊 欲しがりです。 Apr 24, 2020 ","だいぶ手のひら返させたつもりだったけど未だにTikTokにアンチコメントがくる まだまだ獲り甲斐がある Feb 16, 2021 ","@iamnovelcore 失礼します！🙇‍♂️ ありがとうございます😭🙇‍♂️ Jun 10, 2021 ","チャンネル登録1000人にも満たず なけなしの銭でクレープを眺めてる様子をご覧ください #今となっては67000人 #コムドットもっと頑張ります https://t.co/UMow3bDRKa Nov 03, 2019 ","@com__sw やべ！たしかに笑 Nov 09, 2019 "
"@puntkick_ikemi 面白さのために敬語を失ってしまいましたすいません… Apr 24, 2020 ","@ayachan0619 本当は求めてるんでるよね🤫🤫 Feb 15, 2021 ","@JINJIN1027 じんたんさんありがとうございます😭 頑張ります！！！会いたいです！🙇‍♂️ Jun 10, 2021 ","@homies_ruka コラボで紅葉見に行こう Nov 02, 2019 ","@asariassari_jd ありきたりですんません。。 Nov 09, 2019 "
"@puntkick_ikemi 絶対やだ❗️❗️ Apr 24, 2020 ","昔タイに行った時に崖から落ちて肘を擦りむいて骨が見えた事があったんだけど、骨までイケメンだった いつか細胞がどれくらいイケメンか調べてもらいたい #研究者と繋がりたい Feb 15, 2021 ","@_pigmonster @comhyuga1117 @comyuta0305 @comyuma1214 @comyamato0515 @Comyoutuber2 ぴぐもんありがとう😭 またハグしよう Jun 10, 2021 ","@puntkick_ikemi 汗ですか Nov 02, 2019 ","テロリストグループのインターネット部署の人いた。 https://t.co/gkG3KNViPo Nov 09, 2019 "
"今日からTwitter毎日更新します #できなかった日はドックフードを一粒食べます Apr 24, 2020 ","@BOZ_THE_MC お誕生日おめでとうございます🎉 Feb 15, 2021 ","@arishan_hera3 ありしゃんさんありがとうございます😭🙇‍♂️ Jun 10, 2021 ","ゆうたとのオフショットが好評だったのであむぎりとのオフショットを載せてみる。 なんと言っても温泉の季節がやって来て気分が紅葉しております。 https://t.co/XRDGIJzICw Nov 02, 2019 ","味噌カツくえばよかった #さらば黒髪 https://t.co/Qt1hc4McCm Nov 07, 2019 "
"コムドットの本当のコアなファンだなって俺が思う人は ゆうま割と編集してるのにコメ欄で編集のことほぼほぼ触れられてなくて草って腹の中で笑ってる人 #たまには僕の編集にもコメ欄で触れてくれ #でもこのキャラ美味しいから触れないでくれ #どっちだよ Apr 23, 2020 ","最近僕の写真がTinderなどの出会い系アプリで無断使用されていますが、このレベルのイケメンを出会い系市場にぶち込むことによる生態系崩壊の可能性はしっかり考えた上でやっているのでしょうか？ アリの穴に虎を放っているようなものです Feb 13, 2021 ","@higuys_iamkyoka きょうきょうありがとう😭 Jun 10, 2021 ","@miku0425miku @comyuta0305 @Comyoutuber2 @comamugiri0123 @comyuma1214 @comyamato0515 ゆうた口開けすぎかもね Nov 01, 2019 ","本当にやばいです。 毎日11回は聞いてます みんな聞いてリツイートしてね🔥 https://t.co/5tAwrEZg0S Nov 06, 2019 "
"マーベル今からハマるの遅いですか Apr 16, 2020 ","夢を叶えるのに必要な力は沢山あると思うけど、その中でも「無視する能力」がすごい大切だと思う 何か新しい事を始めると、周りの友達に反対されたり、知らない人に批判をされるけど、いかにそれを無視できるかが重要 夢は聖域だ 邪魔者を決して介入させてはいけない Feb 12, 2021 ","@yua_tsutsui ありがとうございます！🙇‍♂️ Jun 10, 2021 ","@comyamato0515 ホンネが出たね Nov 01, 2019 ","ねむい。 https://t.co/QW1kd55kmx Nov 05, 2019 "
"@comhyuga1117 気持ちかったなぁ！ Apr 14, 2020 ","@aya110n_n 綾は外ではサバサバかもな🤔 Feb 12, 2021 ","@gishi_rr ぎじありがとうございます！！ Jun 10, 2021 ","ハロウィンと言うことで名言言わせてください。 ミルクティーとレモンティーは交わらない。 ありがとうございます https://t.co/Z5LguOhtTU Nov 01, 2019 ","みなさん調子どうですか？ 12月7日はコムドット初の地方オフ会です😏 今年最後の思い出にみんなで遊びましょう🔥💪 https://t.co/v9f15kMpat Nov 05, 2019 "
"いつの日か妹に食い殺されるかもしれない。本望である！ https://t.co/kQfvqTDkTF Apr 14, 2020 ","これからどんなに有名になっても、人気になっても、ブランドを始めようがテレビに出ようがYouTubeには誠心誠意向き合う どれだけ生き残るのが厳しい業界か分かっているからこそ、生き残るための動画投稿じゃなくて、日本を獲るための動画投稿をしていく Feb 09, 2021 ","@demichenakamach @comyamato0515 @comyuta0305 @Comyoutuber2 @comhyuga1117 @comyuma1214 JP君ありがとうございます😭🙇‍♂️ 盛り上げていきたいですね😏 Jun 10, 2021 ","@puntkick_ikemi 勘弁してください優しくて後輩思いで誰よりも僕たちのことを考えてくれてる池見の旦那 Oct 30, 2019 ","@st_com_8 おはよう！！ 大変だ🤦‍♂️ 頑張れよおおおお！！！！🔥 Nov 04, 2019 "
"そろそろkill time をchillとか言う謳い文句のダサい商品が＃おうち時間を添えて店頭に並びそう Apr 12, 2020 ","@YUYA_STER @comyuta0305 @comhyuga1117 @comyuma1214 @comamugiri0123 @Comyoutuber2 @haruma_kida 形になったら熱いですね🤔🤔 Feb 09, 2021 ","@_Runa_Ru_na ありがとうございます🙇‍♂️😭 Jun 10, 2021 ","@puntkick_ikemi 幅広く生きてこうと思って気づいたらこうなってました Oct 30, 2019 ","@naenano78 えぐい！！！！！！ Nov 04, 2019 "
"涙腺大崩壊涙枯渇充血我 https://t.co/HeuoosbDxF Apr 11, 2020 ","@comhyuga1117 きゃわい Feb 09, 2021 ","@miyu0300_ ありがとうございます😭🙇‍♂️ Jun 10, 2021 ","ゆうたの彼氏役張らせてもらいました！ https://t.co/GSWyAudeqH Oct 30, 2019 ","@comyamato0515 唾奇さんコメントしてるやん Nov 04, 2019 "
"テラスハウスあるある 楽しい時はイントロも見るけど停滞してるとイントロ見ない Apr 09, 2020 ","@comamugiri0123 洋服の青山のCMやりたいね Feb 09, 2021 ","@KEESUKE_ESPOIR @comyamato0515 @comhyuga1117 @comyuta0305 @comyuma1214 けーすけ君ありがとうございます😭 遊びたいです！ Jun 10, 2021 ","久々にこの動画見たらみんなめっちゃ気合入れてカッコつけてるのにあむぎりだけ丸坊主で草原広がった https://t.co/SRLysLoU63 Oct 29, 2019 ","みんな真っ黒でくるなら教えて欲しかった2019ハロウィーーーーーーン🎃 https://t.co/0zLYv2i0zA Nov 04, 2019 "
"食パンに目玉焼きを乗せた瞬間俺はラピュタだと叫びたくなる Apr 07, 2020 ","@comhyuga1117 めっちゃイイね😉😉 Feb 09, 2021 ","@kajisac_onashas カジサックさんありがとうございます😭🙇‍♂️ Jun 10, 2021 ","彼女目線需要ないランキング世界1位 https://t.co/zyHy02njaS Oct 27, 2019 ","@comyuma1214 ほんと顔長いな Nov 03, 2019 "
"ンンンンガワイイイイイ https://t.co/i07F90K5uz Apr 05, 2020 ","YouTubeで何を届けたいんだろうって考えた時に、結局俺は地元のノリが好きでそれが届けたいんだと思った 単純に爆笑できる思い出とか、将来の夢をお互いに応援し合うとかそんなポジティブな関係性をYouTubeを通して全国に伝えたい 少しでも地元のノリが誰かの人生を動かしたら世界を変えたと胸を張れる Feb 08, 2021 ","@homies_ruka ありがとう！！ また家行くンゴ！！ Jun 10, 2021 ","冬がきて嬉しい #1年前 https://t.co/yvjMHUJWz6 Oct 27, 2019 ","彼氏役に抜擢。 手がぎこちないって噂たってる。 https://t.co/4HvSJot3s3 Nov 03, 2019 "
"ココさんおはようございます。 https://t.co/WNI0W0AFVG Mar 24, 2020 ","@mcgardman お誕生日おめでとう🎉 Feb 07, 2021 ","@aya110n_n ありがとう😭 全く変わんなくてウォシュレットたまに痛い！ Jun 10, 2021 ","@comyuma1214 そんなツイートしてる暇あったら降りて走れ こちとらビールが頼めてないんじゃ 縛り上げてゆうたにけつ叩かすぞ Oct 26, 2019 ","RT @comyuta0305: 最近すっかり寒いね 台風か〜渋い。渋すぎる。 #写真ありがとう https://t.co/CP9tmz48SS Nov 01, 2019 "
"100日後に髪が生えたタピオカ https://t.co/63IEaLSHtR Mar 22, 2020 ","@comamugiri0123 笑笑 Feb 07, 2021 ","コムドット遂にチャンネル登録者数200万人突破しました！！！！！ やったぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁ！！ 沢山のお祝い本当にありがとうございます😭 これからも頑張っていきます🔥🙇‍♂️ #コムドット有言実行 https://t.co/UfmT3P8785 Jun 10, 2021 ","RT @Comyoutuber2: イヤイヤヨーゲーム1日考えれば無限にオモロイ説wwww https://t.co/7XBVSTZcl8 今日の動画です🔥 今大人気イヤイヤヨーゲームです！！ 即興が醍醐味のこのゲームですが1日考えてきてやってみました💪✌️ みんな見てね🤤… Oct 25, 2019 ","@comhyuga1117 @miku0425miku @Comyoutuber2 @comamugiri0123 @comyuma1214 @comyamato0515 ひゅうがとやまとピースバランス悪いね Nov 01, 2019 "
"1万人だぁ！わーい！ いつもみてくれてる方々ありがとうございやす🐒 https://t.co/eML1gYpQRc Mar 18, 2020 ","俺らが日本獲るよ #コムドット革命 https://t.co/HqUkw1OVnR Feb 07, 2021 ","わああああああああああああああ！！！もう少しだぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁ！！ Jun 10, 2021 ","@takkadatte 動画楽しみに待ってます！！ Oct 25, 2019 ","目やりすぎで打撲みたいになった 3日連続このメイクしたおかげで気持ち唇の赤さ増した。 みんなハロウィンおつかれさまでした✌️ https://t.co/QgXr1y6f3p Nov 01, 2019 "
"あえてのホワイトホワイトデー Mar 14, 2020 ","@iamnovelcore 熱い🔥🔥🔥 Feb 06, 2021 ","初めて見つけることができました (四葉のクローバー🍀) (保存状態ちょっと悪い笑) https://t.co/VdCw5WO5Hr Jun 08, 2021 ","何が起きてもマナル隊を応援しつづけるだろぉおおおおおおおおお！！ 本当に心から復活お待ちしております！ https://t.co/Zky9fT2m51 Oct 25, 2019 ","@comhyuga1117 顔色悪いどころの騒ぎじゃなくて草 Oct 30, 2019 "
"ホワイトクリスマスならぬ ホワイトホワイトデー #鬼ださくて草 Mar 14, 2020 ","@comamugiri0123 あっちゃんカッケェよ！！ Feb 06, 2021 ","@KEESUKE_ESPOIR そうですね！とりあえず遊びたいです！あーい！！😆 Jun 05, 2021 ","@8goNiBtQ8JVIwUe ほんとでしょ〜😏😏 Oct 25, 2019 ","最近ねれないこと多いな😂 https://t.co/1uSOiTiLaR Oct 24, 2019 "
"ニット帽の形を見てコンドームみたいだなって例えるやつは コテコテの例えを中華料理屋の床って例える Mar 11, 2020 ","@comyuma1214 アイドルプロデューサーぶるな😫😫 Feb 06, 2021 ","@Smile94955383 障害物！ Jun 05, 2021 ","@naka_sho_32 がんばりまーーす！！！ Oct 25, 2019 ","@itkawashu 😭🙏 Oct 23, 2019 "
"闇だ。 Mar 11, 2020 ","@_mky_mky 一瞬ヒヤッとしました😂😂 これからもYouTube界一緒に盛り上げていきましょう🔥🔥 Feb 06, 2021 ","@9797nan 学校によって違うみたいですね！ Jun 05, 2021 ","@yama_rin_com よかった！😏 Oct 25, 2019 ","みんなおはようねれなかった！！！😂 でもとてもいい朝だ🔥 みんな久しぶりの晴れを楽しもう。 https://t.co/bPCmOpzLlN Oct 22, 2019 "
"トリケラゆうた https://t.co/hnoBVKwZcS Mar 11, 2020 ","【革命】 全国民に告ぐ コムドットがYouTube界をひっくり返す 全員ついて来い 俺らが日本を獲る https://t.co/KDQZBozxKT Feb 06, 2021 ","@com_yura_ 友達が告白してたのを見てた^ - ^ Jun 05, 2021 ","@LFgRlV1nWHGd9Gs ありがとうね！ Oct 25, 2019 ","@itkawashu おめでとうございました🙇 活動頑張って下さい！！！！！！！ Oct 22, 2019 "
"オフショ https://t.co/v5omIR7npk Mar 11, 2020 ","@FUJI_EVISJAP フジくんカッケェ🔥🔥🔥 Feb 05, 2021 ","@comhyuuwaka 一切ない笑 Jun 05, 2021 ","@com_miki2003 😏😏😏 Oct 25, 2019 ","1部に来るのは確かに賢いねやまと🤔 https://t.co/j29FHJHZPt Oct 22, 2019 "
"朝起きて白湯を飲みヨガをしてからランニングする人 出社前のルーティーンに快楽を覚え その高揚感故に玄関先でバク転しちゃう。 Mar 09, 2020 ","全然ゆっくりできなかった😂😂 とりあえず一回地元の友達とお酒飲んでブッ潰れたい！ 明日も頑張るぞ！！🔥🔥🔥 Feb 04, 2021 ","@luv_ka06 ただ走るだけのやつ笑 Jun 05, 2021 ","@W0kZ4HKZBZUxLCz またふざけたのあげるね笑笑 Oct 25, 2019 ","Can. https://t.co/foG7exiX42 Oct 21, 2019 "
"SNSのプロフィール欄に 〇〇小→〇〇中→〇〇高→ 〇〇大New⚽️ まで書くやつ過去の彼女の話を 今の彼女に自慢げにして 怒られた挙句 小指をタンスの角にぶつけて その痛みで逆立ちしちゃう。 Mar 08, 2020 ","@uda_1106 @comyuta0305 @comhyuga1117 @comyuma1214 @comamugiri0123 うだちゃんありがと😉 いつか一緒に釣りしようね🔥🔥 Feb 04, 2021 ","@com_yukina_yuta 決めてきてくれえええ！！！ Jun 05, 2021 ","@Shy8vqta6v2uAX2 頑張ります！ Oct 25, 2019 ","@comyuma1214 きもすぎてんなおい Oct 15, 2019 "
"@2m_fv 約2ヶ月同じ方向で装着していました… Mar 07, 2020 ","@BOZ_THE_MC BOZさん最高です！ いつもお祝いのメッセージありがとうございます😭😭 Feb 04, 2021 ","@_0305__1223 素晴らしい👏 Jun 05, 2021 ","@com_ayana_ こーゆーことをして行きたくて😏 Oct 25, 2019 ","ツイッターのフォロワーが4000人を突破しました！！！ 皆さんいつもありがとうございます🍄 今日の動画出せなくてごめんなさい！！！！！ 悠馬くん触らないでええええええ #イカ2貫 https://t.co/9jjVJmoNkx Oct 13, 2019 "
"スマートフォンを手に入れて一週間 インキャ高校生の午前授業終わり https://t.co/WKFXZqnjht Mar 07, 2020 ","朝起きて沢山のDMやLINEのお祝いメッセージを見て、コムドット100万人いったんだなぁって実感してます 本当にとんでもない数の人の応援があってここまで来れました 死ぬほど忙しくてここまで何の余裕もなかったけど、今日くらいコムドットを心の底からゆっくり誇りたいです みんな本当にありがとう https://t.co/PVVcNVry4I Feb 04, 2021 ","@kanon_com_luv めっちゃ良い写真ですね😆 Jun 05, 2021 ","@MzTDldieFEAwrh4 いえーーい！ Oct 25, 2019 ","みなさん知っていますか。 YouTube界に新しい勢力が乗り込んできました。この方達半端ないです。 「パントキック」のインスタフォロー、YouTubeチャンネル登録、ツイッターフォローすべてしないと時代に乗り遅れるっぽい🤔 https://t.co/TXLFCwmIuq Oct 12, 2019 "
"昨日のゆうたのインスタ投稿の裏側 https://t.co/80vO2a9841 Mar 07, 2020 ","@yurino2021 ありがとうございます！😊 動画でも名前出してくれてめちゃくちゃ嬉しかったです😉😉 Feb 03, 2021 ","この時期って運動会シーズンなのかな？ 体力無いけどまた体動かしたい🏃‍♀️ アーイ！！ https://t.co/Up8jRHWmFt Jun 05, 2021 ","@comyamato0515 無理です！ Oct 25, 2019 ","@CHOJUDAI_JAPAN コムドット 🔥🔥🔥🔥🔥🔥🔥 Oct 10, 2019 "
"ひゅうがたんの後ろ姿とゆうたくんの立ち姿だぴょん https://t.co/bo7E6eV1a1 Mar 07, 2020 ","@yk_553 @comyuta0305 @comamugiri0123 @comyuma1214 @comhyuga1117 ゆいさんありがとうございます😭 コラボしてくれてありがとうございました😊 Feb 03, 2021 ","これ何してるんだろ？ (髭が懐かしい) https://t.co/tnKTtFs3J2 Jun 03, 2021 ","@comemi0419 もちろん😏 Oct 25, 2019 ","最近すっかり寒いね 台風か〜渋い。渋すぎる。 #写真ありがとう https://t.co/CP9tmz48SS Oct 10, 2019 "
"オラギリ https://t.co/suOzOTVofU Mar 07, 2020 ","@koyakky1219 @Comyoutuber2 @comyuta0305 @comhyuga1117 @touyach0724 こやっきーさんありがとうございます😊 売れていない時期に沢山のアドバイスくださったり動画の誘いを下さってありがとうございました Feb 03, 2021 ","@_97_tk それね！！！ Jun 02, 2021 ","@puntkick_tomoki 気持ち高ぶらせながらまってます Oct 25, 2019 ","オフ会の終了後の記念写真です🔥 こりゃすごい。 楽しかったな〜〜〜 みんなまた会おうぜ〜〜〜〜🙏😭 https://t.co/8yUhKmZ4Cu Oct 08, 2019 "
"花粉によって無事死亡 https://t.co/dWB63ucbRD Mar 05, 2020 ","@Hiroto_espoir ヒロトありがとう！ 東京来たら沢山美味しいもの食べような！ ヒロトの会計で😉 Feb 03, 2021 ","6月だぁぁぁぁぁ！！ https://t.co/FlDIfg6NdH Jun 02, 2021 ","@homies_ruka 親父にも殴られた事ないのにのテンションじゃんか Oct 23, 2019 ","昨日はオフ会でした🔥 朝雨降っててちょっとブルーだったけどそんな中でも来てくれた方本当にありがとうございました😭 なんかステージに立つという新鮮な感じだったけどめっちゃ楽しかったです！ #チョイスだよね https://t.co/tdj7yIE2bb Oct 07, 2019 "
"テラスハウスの社長めっちゃ面白いwwww好きです Mar 04, 2020 ","@gishi_rr ぎしありがとう！！ ゲーム辞めたら目がイかなくなるのかもね🤔🤔 Feb 03, 2021 ","@Ban_rinka 😂 Jun 01, 2021 ","編集の軸は休憩も一緒 いつもお疲れ様です https://t.co/2rmI9z1MAW Oct 18, 2019 ","オフ会前日もかつかつドットです😭 明日は全て忘れて楽しみましょう🔥🔥🔥🔥😂😂😂😂😂😂😂😂😂😂😂😂😂🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🍄🔥🔥🔥🔥🔥🍄🔥🔥🔥🔥🔥🍄🔥🔥🔥 https://t.co/AAsbt26Mky Oct 05, 2019 "
"おやすみ世界 おやすみ鈴本さん ご卒業おめでとうございます。 Mar 01, 2020 ","@aya110n_n 綾ちゃんありがとう😊 俺も毎日動画見てモチベーションもらってる🔥🔥 今年は完全に俺らの年にしよう😉😉 Feb 03, 2021 ","なんか似てる https://t.co/FNN33zKkAV May 31, 2021 ","この人達をチャンネル登録してインスタフォローしてツイッターをフォローすると人生が豊かになります。 信じるか信じないかあなた次第なんて臭いことは言いません！ 信じてください頼みます！ https://t.co/dn5xjaZBgM Oct 12, 2019 ","@iy_1912 @com__sw ヒヤヒヤしました！！！ Oct 03, 2019 "
"いじられてるのかわいそうって言われちゃったら僕のキャラ完全終了するんやで… 笑わせられる人がいて笑われる人もいるのがチームのいいところだと勝手に思ってます。 全員がガンガン秀逸に笑とりにいけるのもすごくいいと思うけどせっかくチームでやっているのでちょっとしたアクセント的な文字数 Feb 29, 2020 ","@higuys_iamkyoka @Comyoutuber2 @comhyuga1117 @comyuta0305 @comamugiri0123 @comyuma1214 きょうきょうありがとう😊 動画一緒に撮れたのめっちゃいい思い出✌️ Feb 03, 2021 ","おはようございます🌞(似てた) https://t.co/qg2gZ2KzC9 May 27, 2021 ","台風消えさらんのかーーーーい https://t.co/d6wNoopvry Oct 11, 2019 ","ゆうまちゃん 下を向くな上を向いて生きよう。 https://t.co/Rgd9FKf9Fa Oct 03, 2019 "
"今日の動画のコメント欄俺かわいそうな奴みたいになってて草 そう言われる方がよっぽどきついんだが… 今日の動画編集しながら普通にいじられてる自分見てケラケラ笑ってたんだが… #過保護なコメント欄 #すれ違い Feb 29, 2020 ","@KEESUKE_ESPOIR @comhyuga1117 @comyuta0305 @comyuma1214 @comamugiri0123 けいすけ君ありがとうございます😭 何回も何回も助けてもらってドデカイ恩があります！ 今年のYouTube一緒にジャックしてやりましょう🔥🔥 Feb 03, 2021 ","@ha_tan0603 ジェイソン•ステイサムさん May 27, 2021 ","@CHOJUDAI_JAPAN @LoajvtaUpgxKgmg コムドット！ Oct 10, 2019 ","@chibashin0119 ちばしんありがとう🔥 すするしよう！！！！ Oct 03, 2019 "
"@comyamato0515 賢者モードの僕はダブルドリブルをしてしまうみたいです Feb 19, 2020 ","@hankunESP はん君ありがとうございます😊 こっからとんでもないスピードで上あがるんでちゃんと着いてきて下さいね😉 Feb 03, 2021 ","@REPUIBA817 テンション高かったら歌ってる！😆 May 27, 2021 ","台風消え去らんかい！！！！ https://t.co/IadjNq7c4w Oct 10, 2019 ","@comyukapon3240 ありがとう💪💪💪 Oct 01, 2019 "
"@comyamato0515 今度バスケしたいのでオフが欲しいです。 Feb 19, 2020 ","@_Runa_Ru_na るなちゃんありがとう😊 またYouTube一緒に撮ろう✌️✌️ Feb 03, 2021 ","@comkokoa0521 特にないです😂 May 27, 2021 ","@pk_ikemi 揺れすぎました Oct 10, 2019 ","@jkhgtjkhgt あざっすう🙇🔥 Oct 01, 2019 "
"掌返しばっかしてたらダブルドリブル取られちゃうよ #キザツイート #確かダブルドリブルだったはず Feb 19, 2020 ","@Agovukuro @comyuta0305 @comamugiri0123 @comhyuga1117 @comyuma1214 もっちゃんありがとう🔥 ボコボコにするから覚悟しときな🤔 Feb 03, 2021 ","@comfu_07 たまにね！ May 27, 2021 ","@pk_ikemi ちんと揺れすぎです池見くん Oct 10, 2019 ","@_miiccha ありがとう頑張るよ🔥 Oct 01, 2019 "
"@puntkick_ikemi 池見くんの褒め言葉で完全に承認欲求が満たされてしまったことをここに報告し、 Twitterでの活動をしばらく自粛しようと思います。ちなみに僕はけつ毛ボーボーです。 Feb 14, 2020 ","@n_katooo0705 徳川ちゃんありがとう😊 また一緒にYouTube撮ろうね😉😉 Feb 03, 2021 ","@comyuna2 そういうの良いですよね😊 May 27, 2021 ","ある日のゆうまとの休憩。 スーツでカッコつけながら地元の駄菓子屋の横で楽しく話す日常なんかも楽しかったりする。 にしても頭でかい https://t.co/Q680Y5ien4 Oct 08, 2019 ","@commashiz1103 ありがとう頑張りやす✌️🔥 Oct 01, 2019 "
"@puntkick_ikemi 僕は承認欲求の塊です！ Feb 14, 2020 ","@miyu0300_ みゆちゃんありがとう🔥🔥 YouTube盛り上げよう✌️ Feb 03, 2021 ","@comhyuuwaka 地元の友達！ May 27, 2021 ","オフ会ありがとうございました！ やまとみたくキザ王に俺はなる https://t.co/13zxTSkr7O Oct 07, 2019 ","@y_h_a_m_y_com よろしく頼んます🙏🔥 Oct 01, 2019 "
"バズると思ったら滑り散らした。 Feb 14, 2020 ","@JINSJINS1027 ありがとうございます😭😭 Feb 03, 2021 ","ドライブ全くしてないなぁ🤔😭 https://t.co/yykPjdhDcF May 27, 2021 ","明日みんなオフ会お願いします！ https://t.co/Wdw3NcRYpi Oct 05, 2019 ","@HK_shn ありがとう🔥🔥🔥 Oct 01, 2019 "
"10年前とかに比べて鳩の反応が鈍くなった気がするのは僕だけ？ Feb 14, 2020 ","もう少しで目標のチャンネル登録100万人 通過点だと分かっているけど、今日まで命を削って一緒に頑張って来た仲間と、ずっと側で応援してくれた家族と友達と、ここまで応援してくれたみんなと一緒にこの瞬間を祝いたい みんなで最高の瞬間にしましょう🔥🔥 https://t.co/bxTNqhXmCE Feb 03, 2021 ","自分に会いに行ってみた！ 変な感覚すぎました😂 https://t.co/TprBD8NHn2 May 24, 2021 ","病み上がりマイナス4キロ男 いくら痩せても骨がかっこいいから問題ない‼️ こう見えて元気モリモリやまちゃん https://t.co/OV2PO8A88I Oct 05, 2019 ","@Risa29881487 ありがとう頑張るよ🔥🔥 Oct 01, 2019 "
"おはようございます イエスは人生のパスワードらしいです。 #猪突猛進 https://t.co/Aeepd85TEA Feb 09, 2020 ","素敵な心を持ってるフォロワーの皆さんはチャンネル登録100万人祝う準備をよろしくお願いします😉😉 Feb 03, 2021 ","@_1983N ありがとうございます師匠！ May 22, 2021 ","1周年祝いに友達からワイン頂きました！ ワイン好きじゃないけどなんかすごい嬉しかった😏 友達は大切！ https://t.co/lxijuafYGP Oct 03, 2019 ","@arr___bSo めちゃめちゃ頑張るぜ🔥 Oct 01, 2019 "
"結局猪突猛進した。 https://t.co/1GmTqoU76K Feb 02, 2020 ","昨日忠告のツイートをしたのにDMとかコメント欄に誹謗中傷メッセージが沢山来てたけど、この後に及んでそんな事をしてるうんこにはそれなりの対応をします このツイート以降誹謗中傷コメントDMををして来た人は徹底的にアカウント晒し上げるんでよろしくです Feb 03, 2021 ","@rpcom5_ 悪い顔選手権 May 22, 2021 ","頑張ってると涙は出るよなあむぎり いつも編集お疲れ様！ https://t.co/VXofWd4B3c Oct 01, 2019 ","@shizuku_merutan ありがとう応援よろしくね🥳 Oct 01, 2019 "
