yuma,yamato,amugiri,hyuga,yuta
"社長にスマブラ完敗。 やっぱ社長には敵いませんわ。 Dec 04, 2021 ","全YouTuberライバルだと思ってるけど、1番のライバルはコムドット 去年の活躍に鼻を伸ばしてたら余裕で足元を掬われる 地に足をつけて、目線は常に上 「手抜を抜かない」って言葉の本当の意味を今年は見せつけます Jan 17, 2022 ","先日コムドットのチャンネルで初の1本の動画が1000万回再生されました！ おめでたい🎉 めっちゃ長い動画なのに見て下さりありがとうございます🙇‍♂️ https://t.co/e4rcqs3Ru1 Jan 20, 2022 ","RT @Comyoutuber2: 「やまとがチーム辞めるドッキリ」のはずが途中からメンバー全員ががヒートアップして修羅場になりました これもリアルだからという話し合いの結果、動画をアップすることに決めました ↓フルバージョンはこちら↓ https://t.co/mV646j… Nov 03, 2021 ","RT @teokun711: 遂に運動会の決着がつきます その瞬間を最初から最後まで全員で見てください #輝け大人の青春 でみんな20時になったら投稿して盛り上げてくれたら嬉しいです！ 普段面白おかしくふざけてる僕らYouTuberですが 今回は全員ボケることなく本気でぶつかり… Nov 12, 2021 "
"今日も一日みんな頑張ろう！ Nov 24, 2021 ","ただいまYouTube 待っててくれたファンの皆さん本当にありがとうございます もらった愛情と受けた恩は必ず返します 「コムドットを応援してて良かった」と言わせ続けれるように去年のコムドットを余裕で越えてみせます 日本一の応援よろしくお願いします🤝 Jan 16, 2022 ","@kazueilife あらわっしょい みんなかずえいライフチャンネル登録してね！！ Jan 19, 2022 ","RT @Comyoutuber2: 【垢抜け】いじめられっ子がYouTubeを始めて人生大逆転した話が感動的だった件について... https://t.co/stVtwqXJE5 新しい動画です🔥 あむぎりの人生を赤裸々に話してます😂 みんな見てね🎊 https://t.co… Nov 03, 2021 ","自分本当に写真撮らないんだなと実感 唯一最近撮った写真 https://t.co/mvhqVMdEMV Nov 09, 2021 "
"編集あるあるでウンコめっちゃ我慢するっていうのがあるんだけど、 たった今、 ウンコが半身でこんにちわした。 Nov 24, 2021 ","RT @Comyoutuber2: 【24時間逆鬼ごっこ】 鬼ごっこの概念をぶち壊す大型企画 賞金300万を賭けて23歳の男5人が様々な街を駆け巡ります 是非チャンネル登録をして楽しんで見ていただけると嬉しいです🤝 https://t.co/wyMs7JkIdP Jan 16, 2022 ","@mi___pomme ごめーーーん‼︎‼︎ (ウソップ風) Jan 19, 2022 ","かっけえなコムドット #作ってくれたファンの方ありがとうございます #TikTokこういうの出てくると嬉しい #年内チャンネル登録300万人絶対達成する https://t.co/EYYVIJpUYV Oct 28, 2021 ","すげーーー🎊😂🙇‍♂️ https://t.co/eiKi44ibm1 Nov 04, 2021 "
"牛乳飲んだコップでお茶飲むと抹茶の味するなぁ。 Nov 23, 2021 ","RT @comyuma1214: どうもコムドットの鬼ビジュアル担当の浦田です 最近ビジュアル本気を出している僕ですが、迷える子犬という設定で今後やっていくので推してくれる方を募集してます 精力的にInstagram、TikTokやってるので是非フォローお願いします🐶 貴方に浦… Jan 16, 2022 ","@kazueilife 海外の魅力伝える前にまずは友達にキウイの魅力を伝えるでしょ！ Jan 19, 2022 ","RT @Comyoutuber2: 【革命】平成フラミンゴと幼なじみ同盟を結びます。 https://t.co/Xmse7wJF6e 今日の動画です。 同盟が結成されました。 注目してください。 https://t.co/O76tBmLEO7 Oct 25, 2021 ","コムミンゴウィーク 楽しかった🤤 ありがとうございました🕺 https://t.co/GveKst4LpY Nov 01, 2021 "
"RT @Comyoutuber2: リーダーやまとが仕掛け人のはずが途中から泣き出してしまった動画 ↓フルバージョンはこちら↓ https://t.co/mV646j6wIY https://t.co/HYLnZxNxm8 Nov 05, 2021 ","@comyuma1214 SNS精力的にやり始めてて草 Jan 16, 2022 ","@_31ONsY_ 辛くなって終わります😓 Jan 19, 2022 ","RT @Comyoutuber2: 【匠】ゆうたの超高級タワマン引っ越しを全力手伝ったら楽しすぎたwwww https://t.co/Uu22iUhHfG 今日の動画です🔥 ゆうたついに引越し！！！ ワンルームを卒業しどんな家に引っ越すのか！？ みんな見てね💪🤤 https:… Oct 22, 2021 ","チャンネル登録者250万人達成🔥 最近色々なランキングで1位にコムドットの名前が上がっているのをみて、 本当に感謝しています😭🙇‍♂️ 年内目標に向けてこっからガツガツ頑張ります💪 #コムドット正念場 https://t.co/mxytEsFzv8 Oct 19, 2021 "
"運動会の帰り小便漏れそうだった中 急いでくださった運転手さんありがとうございました！ 久しぶりに醜態を晒すとこでした。 本当に感謝です。 途中から終始アヘ顔をしてしまい申し訳ありませんでした。 今となってはいい思い出です！ Nov 03, 2021 ","RT @modelpress: コムドット、YouTube再開へ “大型企画”予告に歓喜の声続々 @Comyoutuber2 ▼写真・記事詳細はこちら https://t.co/jl8NK7d8Kx Jan 15, 2022 ","@miicom_10 おぉぉぉぉ最高やないかい😏 Jan 19, 2022 ","この3人ガチいい人 #コラボありがとうございました #クレイジーコムドット #オフショット https://t.co/zzLR59Vo7B Oct 15, 2021 ","RT @ABEMATIMES: コムドット、グループの今の夢は「年内にチャンネル登録者数300万人突破」と「冠番組」！ABEMA5周年アンバサダー就任へ #ABEMA #コムドット @Comyoutuber2 https://t.co/cIv850PLTP Oct 18, 2021 "
"自分1人のチャンネル登録なんて 大したことないと思ってる人達へ チャンネル登録者運動会最終日 一緒に盛り上げて頂けるとありがたいです🔥 そんな心優しい人達が集まった時の力は膨大ですごいことになる気がします！ 今日一緒に思い出を作りましょう🔥 Oct 31, 2021 ","RT @modelpress: 【#モデルプレス人気投票 締切まであと1日🏃‍♀️】 🔻いま最も影響力があると思うYouTuberは？ https://t.co/27cn08wh6W ※1時間に1回投票可 結果はABEMA #モデルプレスカウントダウン で発表👑 毎週金曜2… Jan 14, 2022 ","@kn_hha すっぺのか！ Jan 19, 2022 ","RT @NYLONJAPAN: 【コムドットNYLON SUPER ソロ表紙公開‼️】11/16発売『NYLON SUPER VOL.8』限定ソロ表紙版を公開！夜ロケが大人なムード満載 #ひゅうが版 ❤ ︎ひゅうが版オリジナル特大両面ポスター＆DVDの付録が付くのでお楽しみに！… Oct 13, 2021 ","あむぎりカレー https://t.co/1qeAHPJzHp Oct 17, 2021 "
"今日の予告のあむぎりの編集流石だったなぁ。創造力豊かだ本当に🔥 Oct 23, 2021 ","コムドットに投票お願いします🤝 https://t.co/l9emdysKxY Jan 13, 2022 ","キウイってどんな味するのかな アレルギーだから食べれないんだけどドン・キホーテに売ってて気になりやした🥝 Jan 19, 2022 ","RT @NYLONJAPAN: 【 #コムドット NYLON SUPER情報解禁‼️】『NYLON SUPER VOL.8』は11/16発売！表紙はフルメンバー版・限定ソロ表紙版の合計6パターン！両面ポスター6種＆全共通DVD付録も！ 🔗 https://t.co/hggQi… Oct 13, 2021 ","@comyamato0515 けど自分で洗濯できないよね、、 Oct 17, 2021 "
"用事の後時間があって1人でイキリ飯しました。美味しかっです🌞 https://t.co/5aWCfymJVD Oct 22, 2021 ","@comamugiri0123 意地悪で草 Jan 13, 2022 ","@kkkk0221111 @comyamato0515 @comyuta0305 @comhyuga1117 @comyuma1214 お店の人が手書きで紹介して下さってるの嬉しい😊 Jan 18, 2022 ","RT @modelpress: コムドット、初写真集が予約殺到で初版20万部決定 @Comyoutuber2 ▼写真・記事詳細はこちら https://t.co/789HDZYCeu Oct 12, 2021 ","みんなこむまぐ見てくれたかな🤔 くれまぐのみなさんありがとうございました👏🙇‍♂️ https://t.co/2osZylDFbv Oct 15, 2021 "
"編集のワード的にみんなの名前簡略化することが多いのでまとめておきます ひゅうが→髭 あむぎり→鳥 やまと→聖域、青髭 ゆうた→還暦 ワシ→なくて草 Oct 19, 2021 ","RT @modelpress: コムドットやまと、成人式スピーチで「絶対に有名になる」と宣言していた「有言実行する姿が素敵」と反響 @comyamato0515 @Comyoutuber2 ▼動画はこちら https://t.co/e6xxbKqYzf Jan 13, 2022 ","@com_amu23yuta35 足りないこと一切ないです いつもありがとうございます！🙇‍♂️ Jan 17, 2022 ","RT @comyamato0515: 年内目標チャンネル登録300万人。 残り87日で58万人。 厳しい数字だと思います。 しかしコムドットは何回も修羅場をくぐり抜け、不可能を覆してきた集団です。 この壮絶な目標を必ず達成します。 最高にかっこいい姿を見せるので、日本一の応援心… Oct 05, 2021 ","RT @modelpress: コムドット、初写真集が予約殺到で初版20万部決定 @Comyoutuber2 ▼写真・記事詳細はこちら https://t.co/789HDZYCeu Oct 12, 2021 "
